id;run_date;email;winners;alternatives
1;2021-09-14T08:30:27;Brigitte_Balistreri@yahoo.com;program Intelligent vertical;SSL approach deposit
2;2021-09-14T07:14:43;Derrick38@gmail.com;Data Human;hacking Cambridgeshire Turkish
3;2021-09-14T02:21:54;Viviane.Hartmann@hotmail.com;withdrawal;Books invoice
4;2021-09-14T09:28:07;Ryder.Harvey59@gmail.com;Incredible Granite Lakes;sky
5;2021-09-13T19:02:07;Gail.Fisher2@gmail.com;alliance auxiliary;withdrawal
6;2021-09-14T08:00:19;Darian.Hegmann68@hotmail.com;Devolved Malaysia;Oregon Mexico infrastructures
7;2021-09-13T19:38:13;Elza49@hotmail.com;Bedfordshire Eritrea withdrawal;Oklahoma methodologies
8;2021-09-13T18:57:41;Elian93@hotmail.com;Account radical National;Metal quantify
9;2021-09-13T20:08:52;Dixie.Hegmann57@hotmail.com;Dong;bandwidth Dollar Uganda
10;2021-09-13T18:19:10;Maudie.Turcotte70@yahoo.com;Home;intuitive connecting
